CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"M0526","Tables / partitions with large memory share","","none","none",""," 2044468"
"M0530","Row store size (GB)","erphana02","6","<= 300",""," 2050579"
"M0533","Row store tables with more than 1 container","","0","0",""," 2000002"
"M0535","Row store fragmentation (%)","","none","<= 30",""," 1813245"
"M0537","Tables with long total merge time (short-term)","","none","none",""," 2057046"
"M0538","Delta merges > 900 s (short-term)","","0","0",""," 2057046"
"M0540","Failing delta merges (infos / day, short-term)","erphana02","2","<= 5000",""," 2057046"
"M0541","Failing delta merges (errors / day, short-term)","erphana02","0","0",""," 2057046"
"M0542","Auto merge tables with delta storage > 5 GB","","none","none",""," 2057046"
"M0543","Auto merge tables with many delta records","","none","none",""," 2057046"
"M0544","Non-auto merge tables with delta storage > 5 GB","","none","none",""," 2057046"
"M0545","Non-auto merge tables with many delta records","","none","none",""," 2057046"
"M0547","Non BW tables with disabled auto merge","","0","0",""," 2057046"
"M0548","Tables with disabled persistent merge","","0","0",""," 2057046"
"M0549","Non BW tables with disabled auto compression","","0","0",""," 2112604"
"M0550","Row store tables with ST_POINT columns","","0","0",""," 2038897"
"M0551","Proper setup of timezone table TTZZ","","no","yes","X"," 1791342"
"M0552","Number of current timezone alerts","","1","0","X"," 1791342"
"M0560","Tables > 10 Mio. rows not compressed","","0","0",""," 2105761"
"M0561","Columns > 10 Mio. rows not compressed","","0","<= 10",""," 2112604"
"M0562","Columns with missing inverted indexes","","0","0",""," 2160391"
"M0563","Indexes on large SPARSE / PREFIXED columns","","10","0","X"," 2112604"
"M0565","Tables > 10 Mio. rows and > 200 % UDIV rows","","0","0",""," 2112604"
"M0570","Number of temporary tables","","855","<= 100000",""," 2800007"
"M0572","Number of no logging tables","","3","<= 7000",""," 2800007"
"M0573","Translation table cache utilization (%)","","21.80","<= 80.00",""," 1998599"
"M0574","Tables with small unused retention period","","0","0",""," 2127458"
"M0580","Tables assigned to wrong service","","0","0","",""
"M0582","Tables with empty table location","","0","0","",""
"","","","","","",""
"****","TRACES, DUMPS AND LOGS","","","","",""
"","","","","","",""
"M0610","Kernel profiler active","","no","no",""," 1804811"
"M0611","Memory profiler active","","no","no",""," 1999997"
"M0612","Performance trace enabled","","no","no",""," 1787489"
"M0613","Function profiler enabled","","no","no",""," 1787489"
"M0623","Traced expensive statements / day (short-term)","","n/a","<= 5000",""," 2180165"
"M0624","Expensive statements trace retention (days)","","n/a",">= 7.00",""," 2180165"
"M0638","Number of backup log files","","1",">= 1",""," 2797078"
