,date,kosdaq
112,2022.10.05,685.0
113,2022.10.04,696.0
114,2022.09.30,672.0
115,2022.09.29,675.0
116,2022.09.28,673.0
117,2022.09.27,698.0
118,2022.09.26,692.0
119,2022.09.23,729.0
120,2022.09.22,751.0
121,2022.09.21,754.0
122,2022.09.20,760.0
123,2022.09.19,751.0
124,2022.09.16,770.0
125,2022.09.15,781.0
126,2022.09.14,782.0
127,2022.09.13,796.0
128,2022.09.08,777.0
129,2022.09.07,768.0
130,2022.09.06,779.0
131,2022.09.05,771.0
132,2022.09.02,785.0
133,2022.09.01,788.0
134,2022.08.31,807.0
135,2022.08.30,797.0
136,2022.08.29,779.0
137,2022.08.26,802.0
138,2022.08.25,807.0
139,2022.08.24,793.0
140,2022.08.23,783.0
141,2022.08.22,795.0
142,2022.08.19,814.0
143,2022.08.18,826.0
144,2022.08.17,827.0
145,2022.08.16,834.0
146,2022.08.12,831.0
147,2022.08.11,832.0
148,2022.08.10,820.0
149,2022.08.09,833.0
150,2022.08.08,830.0
151,2022.08.05,831.0
152,2022.08.04,825.0
153,2022.08.03,815.0
154,2022.08.02,804.0
155,2022.08.01,807.0
156,2022.07.29,803.0
157,2022.07.28,798.0
158,2022.07.27,795.0
159,2022.07.26,789.0
160,2022.07.25,789.0
161,2022.07.22,789.0
162,2022.07.21,795.0
163,2022.07.20,790.0
164,2022.07.19,782.0
165,2022.07.18,776.0
166,2022.07.15,762.0
167,2022.07.14,766.0
168,2022.07.13,763.0
169,2022.07.12,750.0
170,2022.07.11,767.0
171,2022.07.08,766.0
172,2022.07.07,757.0
173,2022.07.06,744.0
174,2022.07.05,750.0
175,2022.07.04,722.0
176,2022.07.01,729.0
177,2022.06.30,745.0
178,2022.06.29,762.0
179,2022.06.28,769.0
180,2022.06.27,770.0
181,2022.06.24,750.0
182,2022.06.23,714.0
183,2022.06.22,746.0
184,2022.06.21,778.0
185,2022.06.20,769.0
186,2022.06.17,798.0
187,2022.06.16,802.0
188,2022.06.15,799.0
189,2022.06.14,823.0
190,2022.06.13,828.0
191,2022.06.10,869.0
192,2022.06.09,877.0
193,2022.06.08,874.0
194,2022.06.07,873.0
195,2022.06.03,891.0
196,2022.06.02,891.0
197,2022.05.31,893.0
198,2022.05.30,886.0
199,2022.05.27,873.0
200,2022.05.26,871.0
201,2022.05.25,872.0
202,2022.05.24,865.0
203,2022.05.23,883.0
204,2022.05.20,879.0
205,2022.05.19,863.0
206,2022.05.18,871.0
207,2022.05.17,865.0
208,2022.05.16,856.0
209,2022.05.13,853.0
210,2022.05.12,833.0
211,2022.05.11,866.0
212,2022.05.10,856.0
213,2022.05.09,860.0
214,2022.05.06,884.0
215,2022.05.04,900.0
216,2022.05.03,907.0
217,2022.05.02,901.0
218,2022.04.29,904.0
219,2022.04.28,892.0
220,2022.04.27,896.0
221,2022.04.26,911.0
222,2022.04.25,899.0
223,2022.04.22,922.0
224,2022.04.21,929.0
225,2022.04.20,928.0
226,2022.04.19,931.0
227,2022.04.18,918.0
228,2022.04.15,924.0
229,2022.04.14,928.0
230,2022.04.13,927.0
231,2022.04.12,913.0
232,2022.04.11,921.0
233,2022.04.08,934.0
234,2022.04.07,927.0
235,2022.04.06,943.0
236,2022.04.05,952.0
237,2022.04.04,947.0
238,2022.04.01,940.0
239,2022.03.31,944.0
240,2022.03.30,939.0
241,2022.03.29,937.0
242,2022.03.28,927.0
243,2022.03.25,934.0
244,2022.03.24,931.0
245,2022.03.23,930.0
246,2022.03.22,924.0
247,2022.03.21,918.0
248,2022.03.18,922.0
249,2022.03.17,914.0
250,2022.03.16,891.0
251,2022.03.15,871.0
252,2022.03.14,872.0
253,2022.03.11,891.0
254,2022.03.10,889.0
255,2022.03.08,870.0
