new_dates,dates
2021.01.13,101
2021.01.14,105
2021.01.15,103
2021.01.16,32
2021.01.17,27
2021.01.18,71
2021.01.19,90
2021.01.20,97
2021.01.21,114
2021.01.22,95
2021.01.23,37
2021.01.24,30
2021.01.25,103
2021.01.26,128
2021.01.27,118
2021.01.28,178
2021.01.29,255
2021.01.30,118
2021.01.31,46
2021.02.01,115
2021.02.02,104
2021.02.03,121
2021.02.04,78
2021.02.05,111
2021.02.06,58
2021.02.07,39
2021.02.08,85
2021.02.09,88
2021.02.10,112
2021.02.11,66
2021.02.12,47
2021.02.13,59
2021.02.14,56
2021.02.15,73
2021.02.16,98
2021.02.17,135
2021.02.18,100
2021.02.19,103
2021.02.20,41
2021.02.21,26
2021.02.22,66
2021.02.23,122
2021.02.24,137
2021.02.25,121
2021.02.26,153
2021.02.27,50
2021.02.28,25
2021.03.01,45
2021.03.02,72
2021.03.03,61
2021.03.04,76
2021.03.05,142
2021.03.06,85
2021.03.07,43
2021.03.08,95
2021.03.09,102
2021.03.10,143
2021.03.11,116
2021.03.12,91
2021.03.13,40
2021.03.14,25
2021.03.15,51
2021.03.16,72
2021.03.17,96
2021.03.18,110
2021.03.19,111
2021.03.20,36
2021.03.21,44
2021.03.22,62
2021.03.23,79
2021.03.24,67
2021.03.25,72
2021.03.26,67
2021.03.27,34
2021.03.28,31
2021.03.29,57
2021.03.30,77
2021.03.31,62
2021.04.01,74
2021.04.02,67
2021.04.03,26
2021.04.04,33
2021.04.05,53
2021.04.06,60
2021.04.07,58
2021.04.08,49
2021.04.09,56
2021.04.10,38
2021.04.11,38
2021.04.12,65
2021.04.13,65
2021.04.14,84
2021.04.15,76
2021.04.16,83
2021.04.17,19
2021.04.18,21
2021.04.19,37
2021.04.20,58
2021.04.21,50
2021.04.22,63
2021.04.23,66
2021.04.24,28
2021.04.25,27
2021.04.26,51
2021.04.27,65
2021.04.28,84
2021.04.29,84
2021.04.30,83
2021.05.01,24
2021.05.02,41
2021.05.03,90
2021.05.04,100
2021.05.05,49
2021.05.06,83
2021.05.07,59
2021.05.08,23
2021.05.09,33
2021.05.10,52
2021.05.11,131
2021.05.12,95
2021.05.13,132
2021.05.14,68
2021.05.15,44
2021.05.16,26
2021.05.17,55
2021.05.18,71
2021.05.19,36
2021.05.20,52
2021.05.21,73
2021.05.22,25
2021.05.23,21
2021.05.24,59
2021.05.25,58
2021.05.26,53
2021.05.27,76
2021.05.28,54
2021.05.29,25
2021.05.30,13
2021.05.31,69
2021.06.01,56
2021.06.02,51
2021.06.03,83
2021.06.04,50
2021.06.05,17
2021.06.06,28
2021.06.07,41
2021.06.08,47
2021.06.09,58
2021.06.10,51
2021.06.11,57
2021.06.12,25
2021.06.13,26
2021.06.14,29
2021.06.15,43
2021.06.16,48
2021.06.17,59
2021.06.18,68
2021.06.19,18
2021.06.20,31
2021.06.21,46
2021.06.22,50
2021.06.23,65
2021.06.24,74
2021.06.25,66
2021.06.26,29
2021.06.27,26
2021.06.28,41
2021.06.29,32
2021.06.30,53
2021.07.01,63
2021.07.02,56
2021.07.03,40
2021.07.04,30
2021.07.05,43
2021.07.06,41
2021.07.07,51
2021.07.08,60
2021.07.09,66
2021.07.10,25
2021.07.11,18
2021.07.12,36
2021.07.13,53
2021.07.14,53
2021.07.15,56
2021.07.16,53
2021.07.17,20
2021.07.18,20
2021.07.19,40
2021.07.20,51
2021.07.21,40
2021.07.22,59
2021.07.23,45
2021.07.24,30
2021.07.25,20
2021.07.26,47
2021.07.27,60
2021.07.28,67
2021.07.29,50
2021.07.30,61
2021.07.31,18
