,new_dates,kospi
167,2022.04.28,2667.0
168,2022.04.27,2639.0
169,2022.04.26,2668.0
170,2022.04.25,2657.0
171,2022.04.22,2704.0
172,2022.04.21,2728.0
173,2022.04.20,2718.0
174,2022.04.19,2718.0
175,2022.04.18,2693.0
176,2022.04.15,2696.0
177,2022.04.14,2716.0
178,2022.04.13,2716.0
179,2022.04.12,2666.0
180,2022.04.11,2693.0
181,2022.04.08,2700.0
182,2022.04.07,2695.0
183,2022.04.06,2735.0
184,2022.04.05,2759.0
185,2022.04.04,2757.0
186,2022.04.01,2739.0
187,2022.03.31,2757.0
188,2022.03.30,2746.0
189,2022.03.29,2741.0
190,2022.03.28,2729.0
191,2022.03.25,2729.0
192,2022.03.24,2729.0
193,2022.03.23,2735.0
194,2022.03.22,2710.0
195,2022.03.21,2686.0
196,2022.03.18,2707.0
197,2022.03.17,2694.0
198,2022.03.16,2659.0
199,2022.03.15,2621.0
200,2022.03.14,2645.0
201,2022.03.11,2661.0
202,2022.03.10,2680.0
203,2022.03.08,2622.0
204,2022.03.07,2651.0
205,2022.03.04,2713.0
206,2022.03.03,2747.0
207,2022.03.02,2703.0
208,2022.02.28,2699.0
209,2022.02.25,2676.0
210,2022.02.24,2648.0
211,2022.02.23,2719.0
212,2022.02.22,2706.0
213,2022.02.21,2743.0
214,2022.02.18,2744.0
215,2022.02.17,2744.0
216,2022.02.16,2729.0
217,2022.02.15,2676.0
218,2022.02.14,2704.0
219,2022.02.11,2747.0
220,2022.02.10,2771.0
221,2022.02.09,2768.0
222,2022.02.08,2746.0
223,2022.02.07,2745.0
224,2022.02.04,2750.0
225,2022.02.03,2707.0
226,2022.01.28,2663.0
