,date,kosdaq
363,2020.02.14,688.0
364,2020.02.13,687.0
365,2020.02.12,686.0
366,2020.02.11,682.0
367,2020.02.10,676.0
368,2020.02.07,672.0
369,2020.02.06,672.0
370,2020.02.05,661.0
371,2020.02.04,661.0
372,2020.02.03,646.0
373,2020.01.31,642.0
374,2020.01.30,656.0
375,2020.01.29,670.0
376,2020.01.28,664.0
377,2020.01.23,685.0
378,2020.01.22,688.0
379,2020.01.21,676.0
380,2020.01.20,683.0
381,2020.01.17,688.0
382,2020.01.16,686.0
383,2020.01.15,679.0
384,2020.01.14,678.0
385,2020.01.13,679.0
386,2020.01.10,673.0
387,2020.01.09,666.0
388,2020.01.08,640.0
389,2020.01.07,663.0
390,2020.01.06,655.0
391,2020.01.03,669.0
392,2020.01.02,674.0
393,2019.12.30,669.0
394,2019.12.27,661.0
395,2019.12.26,652.0
396,2019.12.24,638.0
397,2019.12.23,647.0
398,2019.12.20,649.0
399,2019.12.19,647.0
400,2019.12.18,648.0
401,2019.12.17,650.0
402,2019.12.16,644.0
403,2019.12.13,643.0
404,2019.12.12,636.0
405,2019.12.11,629.0
406,2019.12.10,627.0
407,2019.12.09,627.0
408,2019.12.06,628.0
409,2019.12.05,617.0
410,2019.12.04,625.0
411,2019.12.03,629.0
412,2019.12.02,634.0
413,2019.11.29,632.0
414,2019.11.28,640.0
415,2019.11.27,647.0
416,2019.11.26,651.0
417,2019.11.25,647.0
418,2019.11.22,633.0
419,2019.11.21,635.0
420,2019.11.20,649.0
421,2019.11.19,662.0
422,2019.11.18,669.0
423,2019.11.15,668.0
424,2019.11.14,663.0
425,2019.11.13,661.0
426,2019.11.12,665.0
427,2019.11.11,661.0
428,2019.11.08,664.0
429,2019.11.07,666.0
430,2019.11.06,669.0
431,2019.11.05,672.0
432,2019.11.04,668.0
433,2019.11.01,662.0
434,2019.10.31,658.0
435,2019.10.30,655.0
436,2019.10.29,658.0
437,2019.10.28,652.0
438,2019.10.25,652.0
439,2019.10.24,658.0
440,2019.10.23,658.0
441,2019.10.22,655.0
442,2019.10.21,649.0
443,2019.10.18,646.0
444,2019.10.17,649.0
445,2019.10.16,651.0
446,2019.10.15,646.0
447,2019.10.14,641.0
448,2019.10.11,632.0
449,2019.10.10,634.0
450,2019.10.08,635.0
451,2019.10.07,627.0
452,2019.10.04,621.0
453,2019.10.02,624.0
454,2019.10.01,632.0
455,2019.09.30,621.0
456,2019.09.27,626.0
457,2019.09.26,628.0
458,2019.09.25,626.0
459,2019.09.24,641.0
460,2019.09.23,645.0
461,2019.09.20,649.0
462,2019.09.19,645.0
463,2019.09.18,645.0
464,2019.09.17,644.0
465,2019.09.16,638.0
466,2019.09.11,630.0
467,2019.09.10,623.0
468,2019.09.09,625.0
469,2019.09.06,631.0
470,2019.09.05,632.0
471,2019.09.04,629.0
472,2019.09.03,620.0
473,2019.09.02,619.0
474,2019.08.30,610.0
475,2019.08.29,599.0
476,2019.08.28,602.0
477,2019.08.27,588.0
478,2019.08.26,582.0
479,2019.08.23,608.0
480,2019.08.22,612.0
481,2019.08.21,615.0
482,2019.08.20,607.0
483,2019.08.19,594.0
484,2019.08.16,591.0
485,2019.08.14,597.0
486,2019.08.13,590.0
487,2019.08.12,594.0
488,2019.08.09,590.0
489,2019.08.08,585.0
490,2019.08.07,564.0
491,2019.08.06,551.0
492,2019.08.05,569.0
493,2019.08.02,615.0
494,2019.08.01,622.0
495,2019.07.31,630.0
496,2019.07.30,625.0
497,2019.07.29,618.0
498,2019.07.26,644.0
499,2019.07.25,652.0
500,2019.07.24,659.0
501,2019.07.23,668.0
502,2019.07.22,674.0
503,2019.07.19,674.0
504,2019.07.18,665.0
505,2019.07.17,666.0
506,2019.07.16,674.0
507,2019.07.15,674.0
508,2019.07.12,681.0
509,2019.07.11,677.0
510,2019.07.10,666.0
511,2019.07.09,657.0
512,2019.07.08,668.0
513,2019.07.05,694.0
514,2019.07.04,691.0
515,2019.07.03,693.0
516,2019.07.02,696.0
517,2019.07.01,696.0
518,2019.06.28,690.0
519,2019.06.27,698.0
520,2019.06.26,709.0
521,2019.06.25,710.0
522,2019.06.24,717.0
523,2019.06.21,722.0
524,2019.06.20,727.0
525,2019.06.19,717.0
526,2019.06.18,714.0
527,2019.06.17,719.0
528,2019.06.14,722.0
529,2019.06.13,726.0
530,2019.06.12,724.0
531,2019.06.11,728.0
532,2019.06.10,721.0
533,2019.06.07,716.0
534,2019.06.05,707.0
535,2019.06.04,702.0
536,2019.06.03,697.0
537,2019.05.31,696.0
538,2019.05.30,689.0
539,2019.05.29,691.0
540,2019.05.28,702.0
541,2019.05.27,689.0
542,2019.05.24,690.0
543,2019.05.23,696.0
544,2019.05.22,706.0
545,2019.05.21,703.0
546,2019.05.20,702.0
547,2019.05.17,714.0
548,2019.05.16,717.0
549,2019.05.15,729.0
550,2019.05.14,710.0
551,2019.05.13,708.0
552,2019.05.10,722.0
553,2019.05.09,724.0
554,2019.05.08,745.0
555,2019.05.07,753.0
556,2019.05.03,761.0
557,2019.05.02,760.0
558,2019.04.30,754.0
559,2019.04.29,750.0
560,2019.04.26,741.0
561,2019.04.25,750.0
562,2019.04.24,757.0
563,2019.04.23,761.0
564,2019.04.22,762.0
565,2019.04.19,762.0
566,2019.04.18,753.0
567,2019.04.17,766.0
568,2019.04.16,765.0
569,2019.04.15,766.0
570,2019.04.12,767.0
571,2019.04.11,766.0
572,2019.04.10,760.0
573,2019.04.09,756.0
574,2019.04.08,751.0
575,2019.04.05,751.0
576,2019.04.04,751.0
577,2019.04.03,749.0
578,2019.04.02,739.0
579,2019.04.01,736.0
580,2019.03.29,729.0
581,2019.03.28,719.0
582,2019.03.27,728.0
583,2019.03.26,736.0
584,2019.03.25,727.0
585,2019.03.22,743.0
586,2019.03.21,743.0
587,2019.03.20,749.0
588,2019.03.19,748.0
589,2019.03.18,753.0
590,2019.03.15,748.0
591,2019.03.14,755.0
592,2019.03.13,754.0
593,2019.03.12,754.0
594,2019.03.11,739.0
595,2019.03.08,735.0
596,2019.03.07,736.0
597,2019.03.06,746.0
598,2019.03.05,747.0
599,2019.03.04,748.0
600,2019.02.28,731.0
601,2019.02.27,752.0
602,2019.02.26,747.0
603,2019.02.25,750.0
604,2019.02.22,743.0
605,2019.02.21,747.0
606,2019.02.20,750.0
607,2019.02.19,748.0
608,2019.02.18,745.0
609,2019.02.15,738.0
610,2019.02.14,742.0
611,2019.02.13,739.0
612,2019.02.12,730.0
613,2019.02.11,733.0
614,2019.02.08,728.0
615,2019.02.07,728.0
616,2019.02.01,716.0
617,2019.01.31,716.0
618,2019.01.30,715.0
619,2019.01.29,710.0
620,2019.01.28,714.0
621,2019.01.25,711.0
622,2019.01.24,704.0
623,2019.01.23,695.0
624,2019.01.22,694.0
625,2019.01.21,695.0
626,2019.01.18,696.0
627,2019.01.17,686.0
628,2019.01.16,693.0
629,2019.01.15,690.0
630,2019.01.14,683.0
631,2019.01.11,686.0
632,2019.01.10,683.0
633,2019.01.09,679.0
634,2019.01.08,668.0
635,2019.01.07,672.0
636,2019.01.04,664.0
637,2019.01.03,657.0
638,2019.01.02,669.0
639,2018.12.28,675.0
640,2018.12.27,667.0
641,2018.12.26,665.0
642,2018.12.24,669.0
643,2018.12.21,673.0
644,2018.12.20,668.0
645,2018.12.19,672.0
646,2018.12.18,659.0
647,2018.12.17,661.0
648,2018.12.14,666.0
649,2018.12.13,681.0
650,2018.12.12,676.0
651,2018.12.11,661.0
652,2018.12.10,670.0
653,2018.12.07,685.0
654,2018.12.06,678.0
655,2018.12.05,701.0
656,2018.12.04,708.0
657,2018.12.03,709.0
658,2018.11.30,695.0
659,2018.11.29,695.0
660,2018.11.28,700.0
661,2018.11.27,700.0
662,2018.11.26,695.0
663,2018.11.23,683.0
664,2018.11.22,692.0
665,2018.11.21,695.0
666,2018.11.20,690.0
667,2018.11.19,702.0
668,2018.11.16,690.0
669,2018.11.15,681.0
670,2018.11.14,671.0
671,2018.11.13,670.0
672,2018.11.12,670.0
673,2018.11.09,687.0
674,2018.11.08,693.0
675,2018.11.07,682.0
676,2018.11.06,691.0
677,2018.11.05,691.0
678,2018.11.02,690.0
679,2018.11.01,657.0
680,2018.10.31,648.0
681,2018.10.30,644.0
682,2018.10.29,629.0
683,2018.10.26,663.0
684,2018.10.25,686.0
685,2018.10.24,699.0
686,2018.10.23,719.0
687,2018.10.22,744.0
688,2018.10.19,740.0
689,2018.10.18,731.0
690,2018.10.17,739.0
691,2018.10.16,731.0
692,2018.10.15,718.0
693,2018.10.12,731.0
694,2018.10.11,707.0
695,2018.10.10,747.0
696,2018.10.08,767.0
697,2018.10.05,773.0
698,2018.10.04,789.0
699,2018.10.02,794.0
700,2018.10.01,816.0
701,2018.09.28,822.0
702,2018.09.27,833.0
703,2018.09.21,827.0
704,2018.09.20,821.0
705,2018.09.19,826.0
706,2018.09.18,831.0
707,2018.09.17,828.0
708,2018.09.14,834.0
709,2018.09.13,830.0
710,2018.09.12,826.0
711,2018.09.11,820.0
712,2018.09.10,816.0
713,2018.09.07,818.0
714,2018.09.06,815.0
715,2018.09.05,820.0
716,2018.09.04,827.0
717,2018.09.03,816.0
718,2018.08.31,816.0
719,2018.08.30,804.0
720,2018.08.29,803.0
721,2018.08.28,798.0
722,2018.08.27,801.0
723,2018.08.24,798.0
724,2018.08.23,791.0
725,2018.08.22,785.0
726,2018.08.21,787.0
727,2018.08.20,769.0
728,2018.08.17,772.0
729,2018.08.16,761.0
730,2018.08.14,761.0
731,2018.08.13,755.0
732,2018.08.10,784.0
733,2018.08.09,789.0
734,2018.08.08,783.0
735,2018.08.07,784.0
736,2018.08.06,781.0
737,2018.08.03,788.0
738,2018.08.02,781.0
739,2018.08.01,790.0
740,2018.07.31,775.0
741,2018.07.30,769.0
742,2018.07.27,773.0
743,2018.07.26,765.0
744,2018.07.25,748.0
745,2018.07.24,761.0
746,2018.07.23,756.0
747,2018.07.20,791.0
748,2018.07.19,796.0
749,2018.07.18,810.0
750,2018.07.17,819.0
751,2018.07.16,825.0
752,2018.07.13,827.0
753,2018.07.12,819.0
754,2018.07.11,804.0
755,2018.07.10,813.0
756,2018.07.09,808.0
757,2018.07.06,808.0
758,2018.07.05,794.0
759,2018.07.04,799.0
760,2018.07.03,795.0
761,2018.07.02,789.0
762,2018.06.29,818.0
763,2018.06.28,810.0
764,2018.06.27,826.0
765,2018.06.26,831.0
766,2018.06.25,836.0
767,2018.06.22,830.0
768,2018.06.21,826.0
769,2018.06.20,840.0
770,2018.06.19,815.0
771,2018.06.18,840.0
772,2018.06.15,866.0
773,2018.06.14,864.0
774,2018.06.12,875.0
775,2018.06.11,876.0
776,2018.06.08,878.0
777,2018.06.07,887.0
778,2018.06.05,877.0
779,2018.06.04,877.0
780,2018.06.01,883.0
781,2018.05.31,879.0
782,2018.05.30,874.0
783,2018.05.29,870.0
784,2018.05.28,879.0
785,2018.05.25,868.0
786,2018.05.24,873.0
787,2018.05.23,869.0
788,2018.05.21,872.0
789,2018.05.18,869.0
790,2018.05.17,855.0
791,2018.05.16,850.0
792,2018.05.15,862.0
793,2018.05.14,858.0
794,2018.05.11,865.0
795,2018.05.10,854.0
796,2018.05.09,850.0
797,2018.05.08,827.0
798,2018.05.04,856.0
799,2018.05.03,866.0
800,2018.05.02,871.0
801,2018.04.30,875.0
802,2018.04.27,886.0
803,2018.04.26,879.0
804,2018.04.25,869.0
805,2018.04.24,873.0
806,2018.04.23,879.0
807,2018.04.20,889.0
808,2018.04.19,882.0
809,2018.04.18,893.0
810,2018.04.17,901.0
811,2018.04.16,896.0
812,2018.04.13,891.0
813,2018.04.12,881.0
814,2018.04.11,885.0
815,2018.04.10,877.0
816,2018.04.09,874.0
817,2018.04.06,867.0
818,2018.04.05,868.0
819,2018.04.04,862.0
820,2018.04.03,872.0
821,2018.04.02,867.0
822,2018.03.30,871.0
823,2018.03.29,865.0
824,2018.03.28,850.0
825,2018.03.27,858.0
826,2018.03.26,853.0
827,2018.03.23,829.0
828,2018.03.22,871.0
829,2018.03.21,885.0
830,2018.03.20,890.0
831,2018.03.19,880.0
832,2018.03.16,894.0
833,2018.03.15,890.0
834,2018.03.14,886.0
835,2018.03.13,886.0
836,2018.03.12,884.0
837,2018.03.09,865.0
838,2018.03.08,853.0
839,2018.03.07,841.0
840,2018.03.06,859.0
841,2018.03.05,845.0
842,2018.03.02,860.0
843,2018.02.28,857.0
844,2018.02.27,874.0
845,2018.02.26,874.0
846,2018.02.23,874.0
847,2018.02.22,870.0
848,2018.02.21,875.0
849,2018.02.20,864.0
850,2018.02.19,875.0
851,2018.02.14,848.0
852,2018.02.13,829.0
853,2018.02.12,843.0
854,2018.02.09,842.0
855,2018.02.08,861.0
856,2018.02.07,829.0
857,2018.02.06,858.0
858,2018.02.05,858.0
859,2018.02.02,899.0
860,2018.02.01,908.0
861,2018.01.31,913.0
862,2018.01.30,920.0
863,2018.01.29,927.0
864,2018.01.26,913.0
865,2018.01.25,898.0
866,2018.01.24,894.0
867,2018.01.23,894.0
868,2018.01.22,873.0
869,2018.01.19,879.0
870,2018.01.18,898.0
871,2018.01.17,886.0
872,2018.01.16,901.0
873,2018.01.15,891.0
874,2018.01.12,873.0
875,2018.01.11,852.0
876,2018.01.10,834.0
877,2018.01.09,829.0
878,2018.01.08,839.0
879,2018.01.05,828.0
880,2018.01.04,808.0
881,2018.01.03,822.0
882,2018.01.02,812.0
883,2017.12.28,798.0
884,2017.12.27,791.0
885,2017.12.26,762.0
886,2017.12.22,761.0
887,2017.12.21,740.0
888,2017.12.20,755.0
889,2017.12.19,766.0
890,2017.12.18,770.0
891,2017.12.15,771.0
892,2017.12.14,770.0
893,2017.12.13,772.0
894,2017.12.12,760.0
895,2017.12.11,764.0
896,2017.12.08,744.0
897,2017.12.07,753.0
898,2017.12.06,768.0
899,2017.12.05,774.0
900,2017.12.04,782.0
901,2017.12.01,787.0
902,2017.11.30,771.0
903,2017.11.29,781.0
904,2017.11.28,773.0
905,2017.11.27,792.0
906,2017.11.24,792.0
907,2017.11.23,796.0
908,2017.11.22,780.0
909,2017.11.21,789.0
910,2017.11.20,785.0
911,2017.11.17,775.0
912,2017.11.16,780.0
913,2017.11.15,768.0
914,2017.11.14,756.0
915,2017.11.13,741.0
916,2017.11.10,720.0
917,2017.11.09,709.0
918,2017.11.08,709.0
919,2017.11.07,701.0
920,2017.11.06,703.0
921,2017.11.03,701.0
922,2017.11.02,694.0
923,2017.11.01,695.0
924,2017.10.31,694.0
925,2017.10.30,689.0
926,2017.10.27,689.0
927,2017.10.26,680.0
928,2017.10.25,689.0
929,2017.10.24,687.0
930,2017.10.23,675.0
931,2017.10.20,672.0
932,2017.10.19,667.0
933,2017.10.18,668.0
934,2017.10.17,670.0
935,2017.10.16,659.0
936,2017.10.13,663.0
937,2017.10.12,666.0
938,2017.10.11,662.0
939,2017.10.10,654.0
940,2017.09.29,652.0
941,2017.09.28,648.0
942,2017.09.27,649.0
943,2017.09.26,642.0
944,2017.09.25,642.0
945,2017.09.22,648.0
946,2017.09.21,661.0
947,2017.09.20,668.0
948,2017.09.19,674.0
949,2017.09.18,675.0
