new_dates,dates
2020.06.15,6
2020.06.16,3
2020.06.17,3
2020.06.18,7
2020.06.19,7
2020.06.20,1
2020.06.21,3
2020.06.22,7
2020.06.23,3
2020.06.24,1
2020.06.25,1
2020.06.26,1
2020.06.28,1
2020.06.29,3
2020.06.30,3
2020.07.01,4
2020.07.02,5
2020.07.03,3
2020.07.04,3
2020.07.05,2
2020.07.06,4
2020.07.07,2
2020.07.08,4
2020.07.09,6
2020.07.10,2
2020.07.11,2
2020.07.12,1
2020.07.13,1
2020.07.14,5
2020.07.15,5
2020.07.16,6
2020.07.17,1
2020.07.18,1
2020.07.19,1
2020.07.20,6
2020.07.21,7
2020.07.22,14
2020.07.23,10
2020.07.24,11
2020.07.25,4
2020.07.26,8
2020.07.27,13
2020.07.28,14
2020.07.29,13
2020.07.30,9
2020.07.31,9
2020.08.01,6
2020.08.02,18
2020.08.03,4
2020.08.04,9
2020.08.05,2
2020.08.06,6
2020.08.07,4
2020.08.08,2
2020.08.09,3
2020.08.10,6
2020.08.11,3
2020.08.12,6
2020.08.13,8
2020.08.14,13
2020.08.16,7
2020.08.17,4
2020.08.18,7
2020.08.19,7
2020.08.20,6
2020.08.21,11
2020.08.23,1
2020.08.24,5
2020.08.25,9
2020.08.26,6
2020.08.27,7
2020.08.28,8
2020.08.29,5
2020.08.30,2
2020.08.31,5
2020.09.01,6
2020.09.02,10
2020.09.03,10
2020.09.04,11
2020.09.05,6
2020.09.06,6
2020.09.07,1
2020.09.08,5
2020.09.09,4
2020.09.10,8
2020.09.11,8
2020.09.12,4
2020.09.13,8
2020.09.14,2
2020.09.15,10
2020.09.16,12
2020.09.17,8
2020.09.18,2
2020.09.19,6
2020.09.20,6
2020.09.21,10
2020.09.22,8
2020.09.23,14
2020.09.24,10
2020.09.25,17
2020.09.26,4
2020.09.27,10
2020.09.28,18
2020.09.29,2
2020.09.30,3
2020.10.01,3
2020.10.02,1
2020.10.03,1
2020.10.05,6
2020.10.06,1
2020.10.07,5
2020.10.08,6
2020.10.09,2
2020.10.10,3
2020.10.11,1
2020.10.12,6
2020.10.13,7
2020.10.14,15
2020.10.15,5
2020.10.16,12
2020.10.17,2
2020.10.18,1
2020.10.19,9
2020.10.20,6
2020.10.21,10
2020.10.22,12
2020.10.23,5
2020.10.24,2
2020.10.25,5
2020.10.26,4
2020.10.27,10
2020.10.28,8
2020.10.29,3
2020.10.30,4
2020.10.31,1
2020.11.02,10
2020.11.03,6
2020.11.04,6
2020.11.05,3
2020.11.06,12
2020.11.07,4
2020.11.08,4
2020.11.09,10
2020.11.10,12
2020.11.11,10
2020.11.12,7
2020.11.13,11
2020.11.14,5
2020.11.15,4
2020.11.16,13
2020.11.17,14
2020.11.18,25
2020.11.19,7
2020.11.20,12
2020.11.21,17
2020.11.22,4
2020.11.23,23
2020.11.24,24
2020.11.25,17
2020.11.26,11
2020.11.27,10
2020.11.28,5
2020.11.29,4
2020.11.30,11
2020.12.01,16
2020.12.02,9
2020.12.03,8
2020.12.04,6
2020.12.05,7
2020.12.06,4
2020.12.07,9
2020.12.08,9
2020.12.09,3
2020.12.10,7
2020.12.11,4
2020.12.12,4
2020.12.13,7
2020.12.14,13
2020.12.15,6
2020.12.16,16
2020.12.17,25
2020.12.18,9
2020.12.19,5
2020.12.20,5
2020.12.21,13
2020.12.22,3
2020.12.23,10
2020.12.24,12
2020.12.25,6
2020.12.26,18
2020.12.27,32
2020.12.28,24
2020.12.29,27
2020.12.30,17
2020.12.31,17
2021.01.01,12
2021.01.02,8
2021.01.03,40
2021.01.04,31
2021.01.05,32
2021.01.06,26
2021.01.07,37
2021.01.08,40
2021.01.09,17
2021.01.10,19
2021.01.11,43
2021.01.12,33
2021.01.13,11
2021.01.14,17
2021.01.15,12
2021.01.16,12
2021.01.17,4
2021.01.18,18
2021.01.19,18
2021.01.20,19
2021.01.21,26
2021.01.22,31
2021.01.23,8
2021.01.24,11
2021.01.25,25
2021.01.26,27
2021.01.27,14
2021.01.28,20
2021.01.29,35
2021.01.30,9
2021.01.31,18
2021.02.01,34
2021.02.02,14
2021.02.03,11
2021.02.04,38
2021.02.05,21
2021.02.06,17
2021.02.07,21
2021.02.08,36
2021.02.09,57
2021.02.10,38
2021.02.11,31
2021.02.12,21
2021.02.13,31
2021.02.14,29
2021.02.15,29
2021.02.16,31
2021.02.17,39
2021.02.18,34
2021.02.19,43
2021.02.20,64
2021.02.21,33
2021.02.22,50
2021.02.23,76
2021.02.24,37
2021.02.25,30
2021.02.26,25
2021.02.27,15
2021.02.28,15
2021.03.01,20
2021.03.02,13
2021.03.03,11
2021.03.04,25
2021.03.05,21
2021.03.06,14
2021.03.07,7
2021.03.08,17
2021.03.09,33
2021.03.10,30
2021.03.11,23
2021.03.12,25
2021.03.13,20
2021.03.14,18
2021.03.15,32
2021.03.16,27
2021.03.17,22
2021.03.18,25
2021.03.19,30
2021.03.20,20
2021.03.21,10
2021.03.22,23
2021.03.23,23
2021.03.24,31
2021.03.25,26
2021.03.26,13
2021.03.27,6
2021.03.28,10
2021.03.29,18
2021.03.30,34
2021.03.31,18
2021.04.01,32
2021.04.02,36
2021.04.03,34
2021.04.04,18
2021.04.05,40
2021.04.06,63
2021.04.07,91
2021.04.08,28
2021.04.09,30
2021.04.10,24
2021.04.11,22
2021.04.12,29
2021.04.13,42
2021.04.14,55
2021.04.15,21
2021.04.16,64
2021.04.17,35
2021.04.18,39
2021.04.19,44
2021.04.20,55
2021.04.21,41
2021.04.22,64
2021.04.23,94
2021.04.24,34
2021.04.25,38
2021.04.26,35
2021.04.27,42
2021.04.28,40
2021.04.29,24
2021.04.30,25
2021.05.01,15
2021.05.02,10
2021.05.03,25
2021.05.04,55
2021.05.05,36
2021.05.06,35
2021.05.07,54
2021.05.08,33
2021.05.09,29
2021.05.10,41
2021.05.11,49
2021.05.12,49
2021.05.13,55
2021.05.14,37
2021.05.15,16
2021.05.16,25
2021.05.17,75
2021.05.18,41
2021.05.19,84
2021.05.20,89
2021.05.21,50
